inspection_id,license_,violation_count,Management,Hygienic_Practices,Food_Preparation,Pests_Rodents,Utensils_Equipment,Physical_Facilities,Compliance,inspection_type,risk,results,aka_name,latitude,longitude,logistic_model_prediction,random_forest_prediction,binary_result
2320412,2092884,6,1,0,0,1,1,2,1,Canvass,Risk 1 (High),Fail,DANTE'S PIZZA,41.91753916,-87.70372789,0,0,0
2320385,2693885,4,0,1,0,0,0,3,0,License Re-Inspection,Risk 1 (High),Pass w/ Conditions,CERMAK PRODUCE,41.93163969,-87.74687268,1,1,1
2320383,1947515,1,0,0,0,0,1,0,0,Canvass Re-Inspection,Risk 1 (High),Pass,ARGO TEA  (T3 ROTUNDA),42.0085364,-87.91442844,1,1,1
2320393,1979165,7,2,1,1,0,0,2,0,Canvass,Risk 1 (High),Pass w/ Conditions,RENO,41.92911001,-87.707239,1,1,1
2320394,2247067,11,0,1,1,1,0,8,0,Canvass,Risk 1 (High),Pass w/ Conditions,LA ESCUELITA NUMERO DOS,41.93194854,-87.70258033,0,1,1
2320427,61757,5,0,0,0,1,1,1,2,Complaint Re-Inspection,Risk 1 (High),Fail,HARMONY RESTAURANT,41.79216385,-87.78540566,0,0,0
2320451,2616833,1,0,0,1,0,0,0,0,Canvass,Risk 1 (High),Pass,PRETTY COOL ICE CREAM,41.92436282,-87.6972554,1,1,1
2320314,2215941,2,0,1,0,0,0,0,0,License,Risk 1 (High),Pass w/ Conditions,LITTLE GENIUS COMMUNITY DAYCARE CENTER,41.68596173,-87.62068049,1,1,1
2320319,2694702,1,0,0,0,0,1,0,0,License,Risk 1 (High),Pass,LA PALAPITA,41.80802515,-87.72003743,1,1,1
2320358,2027142,12,3,1,3,0,1,3,0,Canvass,Risk 1 (High),Pass w/ Conditions,SUSHI PARA  M,41.91115346,-87.67843965,1,1,1
2320315,2216009,0,0,0,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,SERENDIPITY CHILDCARE,41.7141681,-87.65529116,1,1,1
2320439,2631346,0,0,0,0,0,0,0,0,License,Risk 2 (Medium),No Entry,TAQUERIA LA CIUDAD,41.85164289,-87.70640811,0,0,3
2320356,2463130,5,0,0,0,0,3,2,0,Canvass,Risk 1 (High),Pass,CHINA FAST WOK,41.91810712,-87.6973653,1,1,1
2320353,2683657,1,1,0,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,AVLI RIVER NORTH,41.89483049,-87.63430054,1,1,1
2320349,1717867,2,0,0,0,0,1,1,0,Canvass,Risk 1 (High),Pass,TONY'S FINER FOODS,41.92449009,-87.71728813,1,1,1
2320341,2698316,5,2,2,1,0,0,0,0,License,Risk 1 (High),Pass w/ Conditions,EL SABOR LA MICHOACANITA,41.96168071,-87.75556296,1,1,1
2320317,2002822,5,0,1,0,0,1,1,2,Complaint Re-Inspection,Risk 1 (High),Fail,SALAM RESTAURANT,41.96571902,-87.70853756,0,0,0
2320346,2442931,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,GIANT,41.91728802,-87.7073727,0,0,3
2320328,2583309,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,LAS ASADAS MEXICAN GRILL,41.80802515,-87.72003743,0,0,3
2320342,2589655,4,1,0,1,0,1,0,0,Canvass,Risk 1 (High),Pass w/ Conditions,YOLK TEST KITCHEN,41.91358779,-87.68220284,1,1,1
2320343,2492365,0,0,0,0,0,0,0,0,Complaint,Risk 1 (High),No Entry,DO EAT,41.83687198,-87.64610208,0,0,3
2320352,2694744,0,0,0,0,0,0,0,0,License Re-Inspection,Risk 2 (Medium),Pass,MEXI-TACOS,41.85045102,-87.65879786,1,1,1
2320345,2608053,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,DEL TORO,41.85323373,-87.64636415,0,0,3
2320351,22758,12,3,2,1,0,2,3,0,Canvass,Risk 1 (High),Pass w/ Conditions,IRAZU INC,41.91538473,-87.68497372,1,1,1
2320354,2683658,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass,AVLI RIVER NORTH,41.89483049,-87.63430054,1,1,1
2320347,2269695,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,GO! COMMISSARY AND WHOLESALE,41.91728692,-87.70745339,0,0,3
2320357,2684723,7,0,1,0,2,0,4,0,License,Risk 3 (Low),Fail,EXTRA VALUE LIQUOR,42.01418398,-87.69037835,0,0,0
2320320,2368562,0,0,0,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,LEARNING THROUGH PLAY CENTER,41.92450053,-87.7345744,1,1,1
2320355,2683659,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass,AVLI RIVER NORTH,41.89483049,-87.63430054,1,1,1
2320262,2683821,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass w/ Conditions,HIMALAYAN SHERPA KITCHEN,41.96844205,-87.69630358,1,1,1
2320278,2694819,0,0,0,0,0,0,0,0,License,All,Not Ready,JERSEY MIKE'S,41.87853128,-87.63942746,0,0,3
2320265,2495920,2,1,0,0,0,1,0,0,Canvass,Risk 2 (Medium),Pass w/ Conditions,DOMINO'S,41.80178684,-87.72355455,1,1,1
2320257,2690110,8,0,1,2,2,0,3,0,License,Risk 3 (Low),Fail,ROY'S FOOD & LIQUOR,41.90246838,-87.72644326,0,0,0
2320240,2695077,4,0,1,0,1,0,2,0,License,Risk 3 (Low),Fail,DOLLAR TREE,41.92376935,-87.7876261,0,1,0
2320233,2695112,0,0,0,0,0,0,0,0,License,Risk 1 (High),Pass,#1 CHOP SUEY,41.76113827,-87.58634581,1,1,1
2320280,2694525,3,0,1,0,1,0,1,0,License,Risk 3 (Low),Fail,JORDAN DISCOUNT,41.88045497,-87.75728977,0,1,0
2320232,1898193,0,0,0,0,0,0,0,0,Canvass,Risk 3 (Low),Out of Business,WALGREENS #10771,41.92376935,-87.7876261,0,0,3
2320269,2689521,2,0,0,0,1,0,1,0,License Re-Inspection,Risk 2 (Medium),Pass,LA CHAPARRITA,41.85045102,-87.65879786,1,1,1
2320243,2428901,2,0,0,0,0,0,1,0,License,Risk 1 (High),Pass w/ Conditions,KREATIVE KIDZ ACADEMY II,41.74468314,-87.60519977,1,1,1
2320306,2060782,11,4,4,0,0,1,2,0,Canvass,Risk 2 (Medium),Pass w/ Conditions,7-ELEVEN,41.77775754,-87.77119397,1,1,1
2320259,2690112,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Not Ready,ROY'S FOOD & LIQUOR,41.90246838,-87.72644326,0,0,3
2320281,2698419,7,1,3,0,0,0,3,0,License,Risk 2 (Medium),Pass w/ Conditions,DUNKIN DONUTS,41.88183547,-87.63389739,1,1,1
2320225,2284259,1,0,0,0,0,0,1,0,License,Risk 1 (High),Pass,GRAHAM CRACKER'S DAYCARE CENTER INC,41.70020409,-87.62106762,1,1,1
2320260,2684560,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Fail,GOPUFF,41.95684568,-87.67439467,1,1,0
2320293,61757,5,0,0,0,1,1,1,2,Complaint Re-Inspection,Risk 1 (High),Fail,HARMONY RESTAURANT,41.79216385,-87.78540566,0,0,0
2320268,2138608,0,0,0,0,0,0,0,0,Canvass,Risk 2 (Medium),Out of Business,7 ELEVEN,41.91144287,-87.67933447,0,0,3
2320250,2559800,5,0,0,0,1,0,4,0,Canvass,Risk 1 (High),Pass,LOVELYLAND LEARNING LAB CORPORATION,41.73577102,-87.67222985,1,1,1
2320261,2616198,4,0,0,1,0,1,1,0,Canvass,Risk 1 (High),Pass w/ Conditions,CRAZY BIRD,41.89119348,-87.65705498,1,1,1
2320270,2517468,0,0,0,0,0,0,0,0,Canvass,Risk 2 (Medium),Out of Business,PJ PIZZA COMPANY 1 DBA PAPA JOHNS,41.73561795,-87.66770523,0,0,3
2320256,2684558,8,0,1,2,2,0,3,0,License,Risk 3 (Low),Fail,GOPUFF,41.95684568,-87.67439467,0,0,0
2320276,2608180,7,1,1,1,0,1,2,0,Canvass,Risk 2 (Medium),Fail,TONY'S STEAK & LEMONADE SHRIMP MAX FISH & CHICKEN,41.73561695,-87.6677833,1,1,0
2320311,1647725,6,0,1,0,1,2,2,0,Canvass,Risk 2 (Medium),Fail,MAXWELL STREET EXPRESS,41.73607977,-87.65085878,0,0,0
2320229,2670751,10,0,1,1,0,4,3,0,Canvass,Risk 1 (High),Pass w/ Conditions,HIMALAYAN SHERPA KITCHEN,41.96844205,-87.69630358,1,1,1
2320272,2683657,2,1,1,0,0,0,0,0,License,Risk 1 (High),Fail,AVLI RIVER NORTH,41.89483049,-87.63430054,1,1,0
2320245,2313945,2,1,1,0,0,0,0,0,License,Risk 3 (Low),Pass w/ Conditions,THE REDHEAD PIANO BAR,41.8933709,-87.62878315,1,1,1
2320297,2506320,13,2,2,1,0,5,2,0,Canvass,Risk 1 (High),Fail,CHINA STATION,41.91020513,-87.68770229,1,0,0
2320298,2464411,2,0,0,0,0,1,1,0,Canvass,Risk 1 (High),Pass,CA PHE DA,41.85796313,-87.65335773,1,1,1
2320247,2688817,9,1,0,0,1,3,4,0,License,Risk 1 (High),Pass,7-ELEVEN,41.91144287,-87.67933447,0,1,1
2320291,2215988,6,1,2,0,1,1,1,0,License,Risk 1 (High),Fail,GRANNY'S DAYCARE CENTER,41.67786259,-87.62740101,0,0,0
2320248,2313942,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass w/ Conditions,THE REDHEAD PIANO BAR,41.8933709,-87.62878315,1,1,1
2320264,2684188,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass w/ Conditions,CRAZY BIRD,41.89119348,-87.65705498,1,1,1
2320228,2678250,3,1,1,0,0,0,1,0,License,Risk 3 (Low),Pass w/ Conditions,47TH ST CANTINA,41.80766199,-87.73148027,1,1,1
2320255,2688816,0,0,0,0,0,0,0,0,License,Risk 3 (Low),Pass,7-ELEVEN,41.91144287,-87.67933447,1,1,1
2320222,2463497,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,Taqueria El Dorado #2,41.96833532,-87.70886984,0,0,3
2316152,2698198,3,0,1,0,0,1,1,0,License,Risk 2 (Medium),Pass w/ Conditions,DEL REAL BAKERY,41.77912851,-87.70005354,1,1,1
2316164,2363029,10,3,0,1,0,3,2,1,Canvass,Risk 1 (High),Pass w/ Conditions,ARBOR,41.93202492,-87.69216904,0,1,1
2320216,64537,8,2,1,0,0,0,3,1,Canvass,Risk 1 (High),Fail,DAIRY QUEEN BRAZER,41.95327479,-87.76852368,0,0,0
2316156,1887316,2,1,0,0,0,0,1,0,Canvass,Risk 1 (High),Pass w/ Conditions,7-ELEVEN # 33731,41.88052217,-87.65185446,1,1,1
2316201,1914060,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,CORTLAND'S GARAGE,41.91597457,-87.66962157,0,0,3
2316165,2391404,12,4,5,0,1,0,1,1,Complaint,Risk 1 (High),Fail,D'NUEZ RESTAURANT,41.81846434,-87.69688004,0,0,0
2316184,2373940,9,3,0,0,0,1,5,0,Canvass,Risk 1 (High),Pass w/ Conditions,BESPOKE CUISINE,41.88429171,-87.66106144,1,1,1
2316190,2078819,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,MASA AZUL,41.93196914,-87.70013312,0,0,3
2316167,2542346,3,0,0,0,1,0,2,0,License,Risk 1 (High),Fail,SCHOOL OF SCHOLARS LEARNING CENTER LLC,41.76269757,-87.56944315,0,0,0
2316141,1516501,3,0,0,0,0,2,1,0,Canvass,Risk 1 (High),Pass,AFC SUSHI @ JEWEL-OSCO #3262,41.95355444,-87.74505531,1,1,1
2316146,2289038,0,0,0,0,0,0,0,0,Canvass,Risk 2 (Medium),Out of Business,DEL REAL BAKERY,41.77912851,-87.70005354,0,0,3
2316157,34220,3,0,0,0,0,1,2,0,Canvass Re-Inspection,Risk 1 (High),Pass,MACARONI GRILL (T3-K2),42.0085364,-87.91442844,1,1,1
2316160,2103985,7,2,2,0,0,0,2,0,Canvass,Risk 1 (High),Pass w/ Conditions,TACO BURRITO KING,41.8766979,-87.63354314,1,1,1
2320215,2378811,16,1,2,1,0,4,7,1,Canvass,Risk 1 (High),Pass w/ Conditions,CAFE MUSTACHE,41.92335589,-87.69785017,0,1,1
2316145,2220945,2,0,0,0,0,1,1,0,Canvass,Risk 1 (High),Pass,"RAINFOREST LEARNING CENTER, INC",41.93202492,-87.69216904,1,1,1
2316185,2423189,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,IMAGINATION CHILDREN'S ACADEMY,41.88174521,-87.65611111,0,0,3
2316163,2256141,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,ONESTI PIZZERIA INC,41.76443416,-87.69279451,0,0,3
2316191,2595253,12,1,0,0,0,5,4,1,Complaint,Risk 1 (High),Fail,ANDHRA DARBAR,41.99789701,-87.68658606,0,0,0
2316170,2437497,21,2,3,1,2,4,4,0,Canvass,Risk 1 (High),Fail,LAZO'S TACOS,41.9176765,-87.6872657,0,0,0
2316140,1249650,3,0,0,1,1,0,1,0,Complaint,Risk 1 (High),Fail,SIMPSON BUILDING,41.99740324,-87.65829455,1,0,0
2316149,2694104,4,2,1,1,0,0,0,0,License,Risk 2 (Medium),Fail,LIBERTY HOUSE CAFE,41.99551716,-87.71283315,1,0,0
2316166,2215783,7,0,0,0,1,0,6,0,License,Risk 1 (High),Pass,PATHWAYS TO LEARNING CHILD CARE CENTER INCORP.,41.74989198,-87.70801302,0,1,1
2316206,2215780,4,0,1,0,0,0,3,0,License,Risk 1 (High),Pass,PATHWAYS TO LEARNING CHILD CARE CENTER,41.74987381,-87.70931571,1,1,1
2316183,64032,3,0,1,0,0,1,1,0,Canvass,Risk 1 (High),Pass,MCDONALDS  (T3  K9),42.0085364,-87.91442844,1,1,1
2316169,2397985,4,0,2,0,0,1,0,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,VEGETARIAN EXPRESS,41.9683304,-87.67902763,1,1,1
2341211,2215871,4,0,0,0,1,1,2,0,License,Risk 1 (High),Fail,VIREVA NURSEY SCHOOL,41.80113414,-87.67344401,0,0,0
2316172,2622951,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,FRIDA'S PIZZA,41.93853943,-87.7606308,0,0,3
2320221,2192934,0,0,0,0,0,0,0,0,Canvass,Risk 2 (Medium),Out of Business,CAPTAIN HOOKS OF DAN RYAN,41.73603018,-87.62909451,0,0,3
2316159,2231765,11,0,0,3,1,2,3,1,Complaint,Risk 1 (High),Fail,DAMEN DINING,42.00055166,-87.66056947,0,0,0
2320211,2487437,2,0,0,1,0,0,0,0,Canvass,Risk 1 (High),Fail,STELIO'S,41.88110246,-87.65186502,1,1,0
2316204,24698,1,1,0,0,0,0,0,0,Complaint Re-Inspection,Risk 2 (Medium),Pass,HAROLD'S CHICKEN SHACK #55,41.73637382,-87.62723156,1,1,1
2316175,2698266,2,1,1,0,0,0,0,0,License,Risk 1 (High),Pass w/ Conditions,,41.76443416,-87.69279451,1,1,1
2316195,2684364,13,4,2,1,0,1,5,0,License,Risk 1 (High),Fail,CAMPESINO RESTAURANT,41.96833627,-87.70878272,1,0,0
2316194,1592502,8,2,1,0,0,3,2,0,Canvass,Risk 1 (High),Pass w/ Conditions,EL GUANACO,41.93195944,-87.7222343,1,1,1
2320224,53845,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,GEORGIAN BAKERY,41.99766054,-87.70021252,0,0,3
2316187,2215781,4,0,0,0,0,1,3,0,License,Risk 1 (High),Pass,PATHWAYS TO LEARNING,41.74988143,-87.70880962,1,1,1
2316142,2289949,3,0,0,0,0,0,3,0,Canvass,Risk 1 (High),Pass,BON MANGER CATERING AND EVENTS,41.69183559,-87.67109333,1,1,1
2316143,2215492,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Pass,TOTS N TALES PRE-SCHOOL II,41.79652963,-87.75783711,1,1,1
2316196,51206,3,0,0,1,0,1,1,0,Canvass,Risk 1 (High),Pass,MCDONALD'S RESTAURANT  (T3 H9),42.0085364,-87.91442844,1,1,1
2316202,12125,3,0,1,1,0,1,0,0,Canvass,Risk 1 (High),Pass w/ Conditions,APOLLO'S 2000,41.85174848,-87.6985833,1,1,1
2316155,2385005,2,0,0,0,0,0,2,0,Canvass,Risk 1 (High),Pass,CATERPILLAR CARE,41.89592244,-87.669786,1,1,1
2316199,1770200,5,0,1,1,0,1,1,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,CHERUBS,41.92497652,-87.69116242,1,1,1
2316114,2500704,10,3,2,0,0,1,3,0,Canvass,Risk 1 (High),Pass w/ Conditions,NINJA,41.95270875,-87.76713115,1,1,1
2316132,2216088,3,0,0,1,0,0,2,0,Canvass,Risk 1 (High),Pass,LITTLE EINSTEINS DAYCARE,41.9283442,-87.71874414,1,1,1
2316103,2458722,4,0,1,0,0,0,3,0,Canvass Re-Inspection,Risk 1 (High),Pass,CONTE'S PIZZA,41.73811752,-87.72169161,1,1,1
2316107,2496690,3,1,0,0,0,1,1,0,Canvass Re-Inspection,Risk 1 (High),Pass,JENNIVEE'S BAKERY,41.94183567,-87.65401882,1,1,1
2316065,2689327,0,0,0,0,0,0,0,0,License,Risk 2 (Medium),Pass,Krispy Kreme Doughnuts,41.88342264,-87.62802165,1,1,1
2316130,2678205,1,1,0,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,CAFE TACUBA CHICAGO,41.96798331,-87.74177611,1,1,1
2316101,2615574,7,0,0,1,1,2,1,0,Canvass,Risk 1 (High),Pass w/ Conditions,LAS CARNITAS URUAPAN,41.79357049,-87.69440454,1,1,1
2316088,2694699,0,0,0,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,TAQUERIA LAS FLORES,41.97580512,-87.71326195,1,1,1
2316077,2216015,1,0,0,1,0,0,0,0,Canvass,Risk 1 (High),Pass,THE LITTLE GREEN TREEHOUSE,41.87956266,-87.66689804,1,1,1
2316110,1718674,7,3,1,0,1,1,0,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,ALHAMBRA PALACE RESTAURANT,41.8843278,-87.65845724,1,1,1
2316076,2204175,0,0,0,0,0,0,0,0,Canvass Re-Inspection,Risk 1 (High),Pass,ALDEN LAKELAND NURSING HOME,41.96924936,-87.65110161,1,1,1
2316069,2694960,9,3,2,1,0,0,3,0,License,Risk 1 (High),Fail,TAQUERIA EL DORADO,41.96881972,-87.6822915,1,0,0
2316073,2215951,3,0,0,0,0,1,2,0,License,Risk 1 (High),Pass,LITTLE SCHOLARS LEARNING CENTER,41.95311272,-87.78001857,1,1,1
2316085,2192971,8,0,1,2,0,1,3,1,Complaint,Risk 1 (High),Fail,BIG BOWL (T5/M7),42.0085364,-87.91442844,0,0,0
2316055,1225534,6,0,0,1,0,1,4,0,Complaint Re-Inspection,Risk 1 (High),Pass,JEWEL FOOD STORE #3721,41.79435485,-87.77052715,1,1,1
2316093,2693885,12,2,2,3,1,1,3,0,License,Risk 1 (High),Fail,CERMAK PRODUCE,41.93163969,-87.74687268,0,0,0
2316113,78427,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,MIRAI SUSHI,41.9032849,-87.67814146,0,0,3
2316090,1145755,4,0,0,0,0,1,3,0,Complaint,Risk 1 (High),Pass,WENDY'S,41.75466012,-87.74138476,1,1,1
2316058,2694548,2,0,0,0,0,1,1,0,License Re-Inspection,Risk 1 (High),Pass,CHICAGO TAICHI BUBBLE TEA,42.00558686,-87.66107732,1,1,1
2316095,2215782,7,2,1,0,1,0,3,0,License,Risk 1 (High),Pass w/ Conditions,PATHWAYS TO LEARNING CHILD CARE INC.,41.77431077,-87.7028825,0,1,1
2316071,1700,2,0,0,1,0,0,1,0,Canvass Re-Inspection,Risk 1 (High),Pass,LA PERLA TAPATIA #2,41.9246512,-87.72194545,1,1,1
2316127,2379813,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,EL SOMBRERO,41.80933273,-87.72349163,0,0,3
2316080,2694211,4,0,0,0,0,0,4,0,License,Risk 3 (Low),Pass,FALCON FUEL,41.8766224,-87.74528679,1,1,1
2316102,2304306,0,0,0,0,0,0,0,0,Canvass,Risk 3 (Low),Out of Business,PLAZA FOOD,41.91732479,-87.70291213,0,0,3
2316072,2163848,5,1,1,0,0,1,2,0,Canvass,Risk 1 (High),Pass w/ Conditions,ATOUR FOODS,41.99737468,-87.68879832,1,1,1
2320318,2002631,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Out of Business,La Ciudad Mexican Cafe,41.96413022,-87.65462556,0,0,3
2316054,2590201,2,0,1,1,0,0,0,0,Complaint Re-Inspection,Risk 1 (High),Pass,SUBWAY,41.91039898,-87.69020683,1,1,1
2316057,2359451,1,0,0,0,0,0,1,0,License,Risk 1 (High),Pass,LITTLE GENIUS COMMUNITY DAYCARE,41.70698226,-87.64775773,1,1,1
2320273,12453,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,EL CAPITAN RESTAURANT,41.9173369,-87.72144999,0,0,3
2316106,1991560,7,0,1,0,0,2,3,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,NAKWON KOREAN BAKERY,41.96841153,-87.72253235,1,1,1
2316094,2694387,4,3,1,0,0,0,0,0,License Re-Inspection,Risk 1 (High),Pass,TWISTED TACOS,41.87961078,-87.62685551,1,1,1
2316121,2506780,6,3,1,0,0,0,2,0,Canvass,Risk 2 (Medium),Pass w/ Conditions,WILD BLOSSOM II & SOUTH WORKS BREWING CO,41.72982524,-87.66701518,1,1,1
2316097,2304306,13,2,1,3,1,2,4,0,Canvass,Risk 1 (High),Fail,PLAZA FOOD,41.91732479,-87.70291213,0,0,0
2316128,2542938,0,0,0,0,0,0,0,0,Canvass,Risk 2 (Medium),Out of Business,KOKKU LLC,41.8779156,-87.65621646,0,0,3
2316063,2602146,9,0,0,1,1,2,4,0,Complaint Re-Inspection,Risk 1 (High),Pass w/ Conditions,PAN ARTESANAL,41.92467025,-87.72044496,1,1,1
2316099,2205811,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),Pass w/ Conditions,ST. JOSEPH HOSPITAL,41.93440299,-87.63680584,1,1,1
2316096,1144381,7,1,1,2,0,0,3,0,Canvass Re-Inspection,Risk 1 (High),Pass w/ Conditions,ST. JOSEPH HOSPITAL,41.93440299,-87.63680584,1,1,1
2316100,2192963,6,0,0,2,1,0,3,0,Complaint,Risk 1 (High),Fail,TORTAS FRONTERA (T5/M12),42.0085364,-87.91442844,0,0,0
2316129,2147874,9,3,2,0,0,2,1,0,Canvass,Risk 1 (High),Pass w/ Conditions,CITY'S EDGE BAR & GRILL,41.99743523,-87.76125862,1,1,1
2316109,1842823,3,1,0,0,0,2,0,0,Canvass Re-Inspection,Risk 1 (High),Pass,MON LUNG CHOP SUEY,41.9000075,-87.66725382,1,1,1
2316079,2522428,14,2,1,4,0,2,5,0,Canvass,Risk 1 (High),Fail,INNJOY,41.90304416,-87.6792709,1,1,0
2316122,2398548,0,0,0,0,0,0,0,0,Canvass,Risk 1 (High),No Entry,BISMILLAH RESTAURANT,41.99778803,-87.69280879,0,0,3
2316105,2476778,6,4,0,0,0,0,0,0,Canvass,Risk 1 (High),Pass w/ Conditions,"11 DINING, LLC",41.87199613,-87.63920429,1,1,1
2316123,2608861,10,3,1,1,1,2,1,0,Canvass,Risk 1 (High),Fail,BONITA'S RESTAURANT,41.91722352,-87.73059969,0,0,0
