license_,aka_name,latitude,longitude,avg_violations,times_inspected,binary_results,model_prediction,logistic_model_prediction
41897,CHUCK 'E' CHEESE'S,41.80167003,-87.70393836,1,1,1,0,0
2202622,ROWE-CLARK MATH & SCIENCE ACADEMY,41.89533478,-87.7180503,2,1,1,1,1
1592986,CARNITAS Y SUPERMERCADO EL GIGANTE INC,41.92600643,-87.75636298,14.5,2,1,0,0
2363811,THE GERAGHTY,41.84607804,-87.6782501,0,1,1,0,0
2689944,CHINKAY,41.93387296,-87.74653841,20,1,2,0,0
2121132,SUBWAY,41.98354699,-87.65810609,2.333333333,3,1,1,1
1817276,PAT'S PIZZA,41.87396104,-87.63080445,8,1,1,1,1
2360157,PANDA EXPRESS,41.94654251,-87.70247583,4,1,1,1,1
1495075,BUDACKIS DRIVE-IN HOT DOGS,41.96807497,-87.6790196,9.5,2,2,0,0
2684069,KIDDIE ACADEMY OF CHICAGO-LINCOLN SQUARE,41.97055022,-87.68993651,4,2,2,0,0
2221636,ZIA'S LAGO VISTA,41.95118641,-87.66882564,9,2,2,0,0
2422801,IRIE TAVERN,41.94364615,-87.65382314,13,2,1,0,0
2677149,BROWN BAG SEAFOOD CO.,41.87856015,-87.63652387,0.5,2,1,0,0
2303640,WAGNERS BAKERY,41.85221558,-87.68024388,6,1,1,0,0
2689937,MERCY ASIAN FOOD,41.997689,-87.69849449,4,1,1,0,0
2641483,REGENTS MARKETS,41.80263005,-87.58447171,0,1,2,0,0
2641480,REGENTS MARKETS,41.80263005,-87.58447171,5,1,2,0,0
2689051,2337 MILWAUKEE,41.92375997,-87.69851608,9,1,2,0,0
2293923,EL CONDE S.A.,41.79959746,-87.70358496,4,1,1,0,0
2677462,THE LUNCHROOM,41.88209337,-87.63039164,0,1,1,0,0
2652969,YEMEN RESTAURANT,41.96766784,-87.74018351,4.333333333,3,1,0,0
2496427,LUNA LLENA SPORTS GRILL,41.93856566,-87.75855584,7,3,1,0,0
2609440,GHIN KHAO EAT RICE,41.85222861,-87.67948333,4,1,1,0,0
1542917,VOLO RESTAURANT,41.94332263,-87.6788491,6,1,1,0,0
33511,TAQUERIA EL AGUILA REAL,41.96129816,-87.7079521,11,1,1,0,0
2059922,La PALOMA GROCERY STORE,41.77866865,-87.73115965,4.5,2,1,0,0
2289372,LIZ-NEY-LAND LEARNING CENTER,41.78390333,-87.7230554,5,2,1,0,0
2689644,MOMO FACTORY,41.94015821,-87.64455028,4.5,2,1,0,0
2446871,SYMPHONY OF LINCOLN PARK,41.92533056,-87.66312244,14,1,2,0,0
2446479,SMART LOVE FAMILY SERVICES,41.92183537,-87.70727253,0,1,1,0,0
2224822,SOUTHWEST SENIOR CENTER / GOLDEN DINER,41.78209814,-87.70307837,5,1,2,0,0
2215544,CHILDREN'S CENTER INC,41.66132602,-87.64121031,2,1,1,0,0
2451378,FLACO'S TACOS,41.99467731,-87.65903118,2.5,4,1,0,0
13976,ALDI INC #64,41.91334247,-87.68182248,7.666666667,3,2,0,0
2404396,NORTHSIDE GRILL,41.9597925,-87.72783184,15,1,2,0,0
2121132,SUBWAY,41.98354699,-87.65810609,2.333333333,3,1,0,0
2689052,2337 MILWAUKEE,41.92375997,-87.69851608,0,1,2,0,0
2677463,THE LUNCHROOM,41.88209337,-87.63039164,0,1,1,0,0
2583393,RED FISH BLEU FISH,41.80195099,-87.58899849,6,1,1,0,0
2665376,THE LOTUS BLACK,41.91075187,-87.6668909,9.5,2,1,0,0
2496025,CAIRO KEBOB,41.92528007,-87.66677401,18,1,2,0,0
2215610,MOTHER'S TOUCH DAY CARE,41.76454716,-87.68574595,3,1,1,0,0
29401,DISNEY MAGNET,41.95680712,-87.6461175,7,1,1,1,1
2615645,LA BAGUETTE BAKERY,41.78639755,-87.70320569,5,1,1,0,0
1223250,LOS SAUCES GROCERY,41.9312882,-87.77324145,10,1,2,0,0
2689945,7 SEAS FOOD & DELI INC.,41.73588386,-87.64913691,12,2,1,0,0
2637301,FOREVER YOGURT,41.931466,-87.68656176,12.5,2,1,0,0
2608171,SHAWARMA STOP,41.93617191,-87.65340849,7.5,4,1,0,0
22601,Carson (Old),,,5,1,2,0,0
31782,CROATIAN CULTURAL CENTER OF CHICAGO,41.99741972,-87.70142268,3,1,1,0,0
2492802,MONTEALBAN,41.92392648,-87.77632683,11,2,2,0,0
2304758,JOHN'S LIVE POULTRY,41.92372039,-87.77549546,2.666666667,3,1,0,0
2589605,PANCAKE CAFE,41.95127391,-87.64947156,10,2,2,0,0
1516376,TARGET,41.93083392,-87.78913379,3.333333333,3,2,0,0
1991748,SKY DINE 311,41.87779165,-87.63652434,9,1,2,0,0
2412516,OYSTER ON HALSTED,41.91775186,-87.64863789,7.5,2,1,1,1
2429057,"PALETERIA LA  MICHOACANA 1, INC.",41.78624118,-87.71077772,12,1,2,0,0
2368244,LOU MALNATI'S PIZZERIA,41.96074325,-87.6835484,2,1,1,0,0
2229533,DIMO'S PIZZA SIX CORNERS,41.91091779,-87.6773264,21,1,2,0,0
2355266,ADLER SCHOOL INC,41.96855383,-87.68548253,5.5,2,1,0,0
2373877,SNOW DRAGON,41.93008289,-87.64368254,8,2,1,0,0
25946,BLACK SHEEP,41.99036569,-87.6935329,9,1,1,0,0
2529296,AROUND THE WAY MINI MART,41.88396661,-87.75534387,2,1,1,0,0
2670530,SKY DINE 311,41.87779165,-87.63652434,0,2,2,0,0
2678083,MIKKEYS 47 EXPRESS LLC,41.80931768,-87.61371444,10.66666667,3,1,0,0
1873308,"MANOLOS TAMALES, INC. #1",41.79595669,-87.7034796,11.5,2,2,0,0
2529177,KALEIDOKIDS,41.92130256,-87.67760256,8.5,2,1,0,0
2195981,Kim Long Restaurant,41.92424242,-87.7543435,14,1,2,0,0
27480,DOUBLE HAPPINESS,41.9731684,-87.65736358,7,1,1,0,0
23261,FOSTER PARK ELEMENTARY SCHOOL,41.7384262,-87.66813597,2,1,1,0,0
2040649,HOLY FAMILY LUTHERAN SCHOOL,41.86988498,-87.7113089,0,1,1,0,0
2215620,WONDERLAND DAY CARE,41.93823375,-87.78428872,0,1,1,0,0
2683446,COFFEE LAB & ROASTERS,41.93317721,-87.65936357,0,2,1,0,0
69457,Acad. Of Scholastic Ach,41.88042013,-87.74250356,0,1,1,0,0
2677227,NECESSARY & SUFFICIENT COFFEE,41.92835153,-87.7180971,4,3,2,0,0
2177836,BULERIAS TAPAS BAR,41.94866423,-87.66905079,12,1,1,0,0
31036,"ITALIAN FIESTA PIZZERIA, INC",41.7470861,-87.64408438,6.5,2,1,1,1
2405902,THE CAJUN CONNOISSEUR LLC,41.85045102,-87.65879786,2.666666667,3,1,0,0
2215809,RAVENSWOOD COMMUNITY DAYCARE,41.9708886,-87.67939623,5,1,2,1,1
68487,KITSCH'N ON ROSCOE,41.94310456,-87.67867885,6,2,2,2,1
2245580,LAKEVIEW REHABILITATION AND NURSING CENTER,41.93263163,-87.64797278,7,1,2,0,0
22281,JOPLIN ELEMENTARY SCHOOL,41.74934082,-87.66932903,2,1,1,1,1
2664090,TBD,41.89571882,-87.61873143,0,1,1,1,1
1981908,Queen of All Saints,41.99458701,-87.74456342,5,1,1,1,1
2487637,HANUL FAMILY ALLIANCE,41.97240584,-87.70873682,13,1,2,0,0
1675154,SIX CORNER BAKERY,41.9537812,-87.74815775,8,1,2,0,0
2560363,HERO COFFEE BAR,41.88177941,-87.65438027,7,1,1,0,0
2221191,GEORGE E TAYLOR CHILD DEVELOPMENT CENTER,41.9029293,-87.70804857,1,1,1,0,0
2523672,LOOMIS CITGO INC.,41.73597329,-87.65806838,4,1,1,0,0
2556107,HUTCH AMERICAN KITCHEN AND BAR,41.97326137,-87.66762286,5,3,1,0,0
2608056,O-MANNY MEXICAN RESTAURANT,41.95362792,-87.71947321,0,2,1,1,1
2626774,HAKKA BAKKA,41.88569112,-87.65228969,3.8,5,1,1,2
2308003,OLD GROUNDS SOCIAL,41.92912424,-87.65333792,5.666666667,3,2,0,0
2541870,"L & L LP INFANT, CORP.",41.92492415,-87.64022309,0,1,1,0,0
2684671,Pastoral,41.88418751,-87.64111967,0,1,1,0,0
2079685,WEBSTER'S WINE BAR,41.9288491,-87.70681721,9.333333333,3,1,1,1
2664105,DOPPIO COFFEE HOUSE,41.93772482,-87.66631958,1,2,1,0,0
2109251,MARIO'S BUTCHER SHOP,41.88004498,-87.77049338,7,1,1,1,1
2646756,TBD,41.89571882,-87.61873143,3,2,1,0,0
2469779,L & L ACADEMY AND PRESCHOOL,41.92497231,-87.64025215,4,1,1,0,0
1948872,EL CID TACOS #2,41.92976286,-87.70722323,15,1,2,0,0
2609439,THE TAMALE SPACESHIP,41.85058668,-87.67074549,5,2,1,2,1
2689644,MOMO FACTORY,41.94015821,-87.64455028,4.5,2,2,0,0
2488830,PISOLINO,41.93928538,-87.69733595,3.5,2,1,1,1
2333622,I-CAFE SUKUR'S PLACE,41.95431818,-87.67476032,11,2,2,0,0
1998846,Pastoral,41.88418751,-87.64111967,5.5,2,1,0,0
2626305,"EL AZTECA SANCHEZ, INC.",41.85045102,-87.65879786,1.5,2,1,0,0
2578374,TERIYAKI BOWL,41.8839051,-87.70605925,3,2,1,1,1
23369,EAST OF EDENS,41.99714701,-87.74849096,17,1,1,0,0
2184967,BRASA ROJA RESTAURANT,41.94627055,-87.72754493,9,1,1,0,0
2215884,HOUSE OF KIDS,41.94539701,-87.80571712,1,1,1,0,0
2215643,CENTRO NUESTRO CHILD DEVELOPMENT CENTER,41.90293279,-87.70769386,1,1,1,1,1
57689,LITTLE DENNIS,41.77893001,-87.69859995,15,2,1,0,0
30212,POPEYE'S CHICKEN,41.93878413,-87.75863714,12.5,2,1,0,0
1991820,RED SNAPPER FISH CHICKEN & PIZZA,41.88023654,-87.75722039,7.666666667,3,1,0,0
66919,LATIN AMERICAN BAKERY,41.92466334,-87.72095975,14,1,2,0,0
2684391,TOSTINI,42.0079321,-87.67100363,3,1,1,1,1
2483908,CHEPE'S TACOS,41.8546947,-87.67576514,2,1,1,0,0
2589073,GOLDEN FISH & CHICKEN,41.77917311,-87.69698886,7,1,1,0,0
1969955,CHICKEN WORKS AND SALAD CO.,41.95385814,-87.71999799,6,1,1,0,0
2689945,7 SEAS FOOD & DELI INC.,41.73588386,-87.64913691,12,2,2,0,0
2447134,LITTLE PICKLE,41.92446191,-87.71957548,6,1,1,0,0
2463091,Chop Suey Huang,41.97597609,-87.69249422,21,1,1,0,0
2677857,DOLLAR TREE #07725,41.84428701,-87.71387967,2,1,1,0,0
2600906,GORILLA SUSHI,41.96828873,-87.7136772,11,1,1,1,1
1741003,TAQUERIA EL CHARO DE SAN FRANCISCO,41.70261923,-87.53430877,11,3,1,0,0
2689697,BOLIVAR Y LINCOLN VENEZUELAN,41.94319768,-87.65405955,5.5,2,2,0,0
2583931,REDLINE VR,41.96712525,-87.67480957,1.5,2,1,1,1
2518015,BRICKHOUSE TAVERN,41.94842204,-87.65732464,8,3,1,0,0
2385784,PERFECT BEGINNINGS CHILD DEVELOPMENT CENTER,41.67768507,-87.65901955,2.5,2,1,0,0
36126,LAWN MAGIC LOUNGE,41.76977201,-87.72267947,9.5,2,1,0,0
2431752,DUKE'S,41.98461843,-87.76815927,4.666666667,3,2,0,0
2670818,CRACKED ON MILWAUKEE,41.9066299,-87.67137624,0,2,1,0,0
2299114,VELVET TACO,41.90212753,-87.6285014,3,3,2,2,2
2647921,BOKEH,41.96716992,-87.7085787,0,2,1,0,0
1243865,JJ FISH,41.73558551,-87.67022566,9.5,2,1,0,0
1768216,JIMMY JOHN'S,41.86607359,-87.62426767,5,1,2,1,1
2102640,ST. ROBERT BELLARMINE,41.96486566,-87.77868958,4,1,1,0,0
3759848,ACERO VICTORIA SOTO HIGH SCHOOL,41.80175621,-87.71098826,2,1,1,1,1
2215472,BUSY BUMBLE BEE ACADEMY DAYCARE,41.77709239,-87.60600378,3,2,1,0,0
3096670,KIPP CHARTER ELEMENTARY,41.89148297,-87.74659826,0.5,2,2,0,0
2671113,CONVENE,41.88052759,-87.63562385,0,2,1,0,0
26651,MAHALIA JACKSON ELEMENTARY SCHOOL,41.73409818,-87.64675679,3.5,2,2,0,0
2671110,CONVENE,41.88052759,-87.63562385,12,2,1,0,0
2215932,IRVING PARK INFANT TODDLER CENTER,41.96132811,-87.70341968,0.5,2,1,1,1
2647920,BOKEH,41.96716992,-87.7085787,12.5,2,1,2,2
2245833,WALGREENS,41.9929375,-87.66021033,3,1,2,1,1
2298331,CARNITAS URUAPAN,41.85763235,-87.66977453,3,1,1,1,1
2684475,K & H FOOD MART PLUS,41.90551188,-87.725112,1,1,1,0,0
2689434,LA CEBOLLITA RESTAURANT,41.80764585,-87.73272528,4,1,1,0,0
2419455,THE JIBARITO STOP,41.85787346,-87.66812209,1,1,1,0,0
2670817,CRACKED ON MILWAUKEE,41.9066299,-87.67137624,7.333333333,3,1,0,0
2641367,TZUCO / TALES / PANANGO,41.89556403,-87.62831821,1,1,1,0,0
1592986,CARNITAS Y SUPERMERCADO EL GIGANTE INC,41.92600643,-87.75636298,14.5,2,2,2,2
2671036,PHILZ COFFEE,41.92425041,-87.64687752,3,1,1,0,0
2528511,LA BOMBA RESTAURANT,41.91728109,-87.7078566,16,5,1,0,0
2641369,TZUCO / TALES / PANANGO,41.89556403,-87.62831821,0,1,1,0,0
2079685,WEBSTER'S WINE BAR,41.9288491,-87.70681721,9.333333333,3,2,0,0
2689649,JIMMY JOHNS,41.95256564,-87.8112743,0,1,1,1,1
1844144,"SUNVIEW GROCERY & PRODUCE, INC.",41.77791532,-87.77446237,7.428571429,7,1,0,0
2678083,MIKKEYS 47 EXPRESS LLC,41.80931768,-87.61371444,10.66666667,3,2,0,0
2689433,QUEEN MARKET,41.90657322,-87.68726809,5,1,1,0,0
3759896,ACERO JOVITA IDAR CHARTER SCHOOL,41.80106791,-87.70883469,2.666666667,3,1,0,0
1998968,NEW SUPER SUB AND GYROS,41.7719277,-87.69369338,8,1,1,1,1
2202278,SUNNY'S BAR B QUE,41.75526283,-87.64430781,11,2,1,0,0
1817934,GAELIC IMPORTS,41.96852536,-87.7874394,11,1,1,0,0
1546100,DOMINO'S PIZZA,41.94086524,-87.80699551,6,1,2,0,0
2664128,THE LEARNING PLACE,41.75852367,-87.61480539,9.5,2,1,0,0
2626774,HAKKA BAKKA,41.88569112,-87.65228969,3.8,5,2,0,0
2683676,ROOSEVELT UNIVERSITY COFFEE SHOP,41.87624813,-87.62441918,5,3,1,0,0
48972,THE ORIGINAL NICKS GYROS,41.97671903,-87.78800131,17,1,1,0,0
25881,Wildwood,42.00747007,-87.77837089,2,1,2,0,0
2451966,WHALE FISH & CHICKEN,41.902223,-87.76768778,12,1,1,0,0
2627555,THE HATCHERY,41.8839051,-87.70605925,0.5,2,1,0,0
2589092,THE BLACK FIRE BRIGADE ORG.,41.74048386,-87.70228692,2.5,2,1,0,0
1953757,Fifolet Cajun,41.90331198,-87.67657337,16,2,1,0,0
2689652,SUBWAY,41.95354369,-87.71274347,3,1,1,0,0
2601982,EL CHURRITO3,41.74973848,-87.71810076,3.5,2,1,1,1
2671117,CONVENE,41.88052759,-87.63562385,0,2,1,2,1
2563433,TASTE OF CHINA,41.92757678,-87.65152817,11,1,1,0,0
1380524,LUCIANO'S GROCERY-18TH ST,41.85785657,-87.6694196,7,1,1,0,0
6503,HUB'S GYROS II,41.98222979,-87.6938395,14,1,1,1,1
2671118,CONVENE,41.88052759,-87.63562385,0,2,1,0,0
2671111,CONVENE,41.88052759,-87.63562385,0,2,1,2,1
2252227,JALAPENO GRILL,41.91757216,-87.69985903,18,1,2,0,0
1358027,THE CHOPPING BLOCK,41.96790068,-87.68794065,4,1,1,0,0
2188855,RED SNAPPER,41.77193063,-87.69343855,13,1,1,0,0
1980154,NEW LINE,41.88575261,-87.64116458,2,1,1,1,1
1247262,TAVERN ON LITTLEFORT,41.95677163,-87.68075734,6.5,2,2,0,0
2641368,TZUCO / TALES / PANANGO,41.89556403,-87.62831821,0,1,1,0,0
7214,ZACATECAS RESTAURANT,41.93133655,-87.75299705,14,1,2,1,1
2379215,NANDO'S PERI-PERI,41.93288386,-87.64627175,3.333333333,3,1,1,1
2689301,TANIA'S CATERING INC.,41.84832466,-87.67343416,5,1,1,0,0
2422984,GREAT DRAGON 78,41.94049364,-87.72591132,8,1,1,0,0
1980651,Irene C. Hernandez Middle School,41.79350627,-87.71139803,1,1,1,1,1
2216002,"LEARNING TREE PRESCHOOL AND NURSERY, INC.",41.78084306,-87.70304249,4,1,1,0,0
1050,MARTINO'S ITALIAN CUISINE & PIZZERIA,41.99019852,-87.71526237,6.5,2,1,0,0
2510693,DO-RITE DONUTS,41.88542085,-87.65198867,4,1,1,0,0
2541853,O'S DONUTS & CAFE INC,41.75466012,-87.74138476,15.5,2,1,0,0
2043260,THE DOCK AT MONTROSE BEACH,41.96390894,-87.63863625,8,3,1,1,1
2202308,KURAH,41.8642488,-87.62393363,12,1,1,0,0
2608171,SHAWARMA STOP,41.93617191,-87.65340849,7.5,4,2,1,1
2550253,NEW ORLEANS SEAFOOD,41.97339651,-87.65679875,8,1,1,0,0
2215838,LITTLE KIDS VILLAGE LEARNING,41.76468932,-87.69044084,3,1,1,0,0
2677822,RANGOON BURMA GROCERY STORE,41.99722245,-87.6945993,3.5,2,1,2,1
2663543,LA MOM KITCHEN,41.83436978,-87.64634011,4.666666667,3,1,0,0
2677408,LA MOM KITCHEN,41.83436978,-87.64634011,0,2,1,0,0
2689035,REAL GOOD STUFF CO,41.92493472,-87.64783287,1.5,2,1,0,0
2157363,SANDUNGA,41.96845445,-87.69461992,5.5,2,2,0,0
2617364,HEARTFELT CATERING,41.8899706,-87.66879885,2,1,1,0,0
2589062,DUNKIN DONUTS,41.77784508,-87.76638144,1,2,1,1,1
2621534,TIME MACHINE JUICE CO,41.88664925,-87.67766943,0.5,2,1,0,0
2657921,7-ELEVEN,41.97329204,-87.77824229,8.5,2,1,0,0
2688998,EL CAMPEON TACO BAR EXPRESS,41.98768869,-87.70307734,4,2,1,1,1
13976,ALDI INC #64,41.91334247,-87.68182248,7.666666667,3,2,2,2
2470706,CAFE #10,41.92792702,-87.80624603,2.5,2,1,0,0
21999,TACO & BURRITOS PALACE,41.9456985,-87.6492916,8.5,2,1,0,0
1770127,"FIG CATERING, LLC",41.85660309,-87.66240775,3,1,1,0,0
1916618,"KERASOTES SHOWPLACE THEATERS, LLC",41.86967389,-87.63236767,1,1,1,0,0
1802424,CARNICERIA Y FRUTERIA LOS ALTOS,41.82077153,-87.69940685,7.666666667,3,2,0,0
2569420,EL ROJO GUSANO II,41.9584248,-87.67374278,17,2,2,0,0
2528493,LA ESPERANZA RESTAURANT,41.85630665,-87.66265894,1,1,1,0,0
78302,EL ALEGRE BURRITO,41.92388497,-87.80619241,9,1,2,1,1
2289372,LIZ-NEY-LAND LEARNING CENTER,41.78390333,-87.7230554,5,2,2,0,0
2328295,AFC SUSHI @ TONY'S FINER FOODS,41.9768951,-87.69227967,5,1,1,0,0
2657924,7-ELEVEN,41.97329204,-87.77824229,0,2,1,0,0
2590204,NO BONES BEACH CLUB,41.91038686,-87.67683124,3.5,2,1,0,0
2689028,NEW CAJUN GRILL,41.75466012,-87.74138476,5,1,1,0,0
1841301,KOHAN JAPANESE RESTAURANT,41.86490157,-87.64629229,7,1,1,0,0
2392091,LOS TRES PANCHOS,41.93245781,-87.65805863,6,1,1,1,1
1874389,BEST TACO & BURRITO JOINT,41.92438087,-87.72620077,12.5,2,1,1,1
1445833,MCDONALDS,41.8096287,-87.60736974,8,2,2,0,0
1878475,ST. JOSAPHAT,41.92294129,-87.66309427,2,2,1,2,1
2550659,TOTS LAND,41.92820833,-87.80625626,1,1,1,0,0
2569510,"SOUP & SCOOPS, LLC",42.00238974,-87.81707622,10,2,2,2,1
2059922,La PALOMA GROCERY STORE,41.77866865,-87.73115965,4.5,2,2,1,1
2555919,POLPETTI ESPRESSO BAR,41.88418751,-87.64111967,1.5,2,1,0,0
1768994,SIAM COUNTRY,41.96623164,-87.67896609,13,1,1,0,0
2637301,FOREVER YOGURT,41.931466,-87.68656176,12.5,2,2,0,0
2683622,GATEWAY NEWSTAND,41.88053925,-87.63459246,1,2,1,0,0
2684735,LA DELICIA MICHOCANA,41.74524711,-87.72162642,2,2,1,0,0
2374705,FORBIDDEN ROOT,41.89611415,-87.67144255,7,2,1,0,0
2601569,XOCHIMILCO MEXICAN RESTAURANT,41.96155025,-87.68027083,1.5,2,1,0,0
2617180,BAYAN KO,41.96161928,-87.67502882,5,2,1,0,0
2040661,PROVIDENCE ST. MEL SCHOOL,41.87890206,-87.71568319,2,1,1,0,0
1986439,EAT AND RUN NFP,41.73562916,-87.66684643,6,5,1,0,0
2522334,JR'S RED HOTS,41.91746648,-87.68681624,13.5,2,1,1,1
2134292,IGNOTZ ONE DOOR SOUTH,41.8477534,-87.6829278,2,1,1,0,0
2683404,LEVEL UP NUTRITION,41.95871461,-87.70801929,4.333333333,3,1,0,0
2551920,MARISCOS LUIS-ITO,41.80768469,-87.72964243,6,2,1,0,0
2518015,BRICKHOUSE TAVERN,41.94842204,-87.65732464,8,3,2,0,0
2529177,KALEIDOKIDS,41.92130256,-87.67760256,8.5,2,2,0,0
2216100,LINCOLN SQUARE MONTESSORI SCHOOL,41.96838683,-87.70328936,5,2,1,0,0
2689414,FRESH STOP PRODUCE AND MARKET,41.9400399,-87.65275588,5,1,1,1,1
2600751,XAVIER'S CLUB,41.81226601,-87.68468335,5.5,2,1,0,0
2495771,"FITTINGLY DELICIOUS, LLC",41.9535518,-87.72667299,6,1,1,0,0
1902989,PUNTA CANA RESTAURANT INC.,41.92104505,-87.71214152,14,3,1,0,0
75437,XSPORT CAFE,41.96622739,-87.73718362,15,1,1,0,0
2216030,TOTS LAND,41.94523205,-87.81420343,1,1,1,0,0
2589605,PANCAKE CAFE,41.95127391,-87.64947156,10,2,2,0,0
2683289,TAQUERIA CHILO,41.70018568,-87.6424774,7,1,1,0,0
2215984,KIDS R FIRST LEARNING CENTER,41.7566817,-87.64434493,8,3,1,0,0
2355266,ADLER SCHOOL INC,41.96855383,-87.68548253,5.5,2,2,0,0
69608,CERMAK PRODUCE NO.4,41.91013224,-87.69460039,16.5,2,1,0,0
2405902,THE CAJUN CONNOISSEUR LLC,41.85045102,-87.65879786,2.666666667,3,2,0,0
2245840,RICO FRESH MARKET,41.91740411,-87.7156725,12.33333333,3,1,0,0
1741003,TAQUERIA EL CHARO DE SAN FRANCISCO,41.70261923,-87.53430877,11,3,2,1,1
70743,GATEWAY FOUNDATION-KEDZIE CENT,41.91219344,-87.70695426,5.5,2,1,0,0
2492802,MONTEALBAN,41.92392648,-87.77632683,11,2,2,0,0
0,ST. ATHANASIOS & JOHN  GREEK OROTHODOX CHURCH,41.95733431,-87.73273324,5.083333333,24,1,0,0
1276342,STARBUCK'S COFFEE #2636,41.90319559,-87.66996531,3,1,1,1,1
2683875,K I AFRICAN RESTAURANT,42.01258706,-87.67448205,7,2,1,0,0
2341098,THE GREEN DOOR,41.89463702,-87.63726863,3,1,2,0,0
3759896,ACERO JOVITA IDAR CHARTER SCHOOL,41.80106791,-87.70883469,2.666666667,3,2,0,0
2271372,BOMBON CAKE DESIGN,41.79073435,-87.72323768,5.5,2,1,0,0
28489,"WHITE CASTLE SYSTEM, INC.",41.88064565,-87.72337094,7,1,1,0,0
1045342,SUBWAY,41.92404417,-87.76894098,8,1,1,0,0
2689476,HELLO CHERRY ASIAN GROCERY AND MEATS,41.99766002,-87.68758784,1,1,1,1,1
2404371,LA JOSIE,41.88451686,-87.64739068,14,2,1,0,0
2671700,KEBAB GRILL,41.95586808,-87.68012287,9,1,1,0,0
31036,"ITALIAN FIESTA PIZZERIA, INC",41.7470861,-87.64408438,6.5,2,2,0,0
2476381,OAZAS,41.96836673,-87.70589094,4.25,4,1,0,0
1878441,HEFFERAN ELEMENTARY,41.87863685,-87.73583687,2,1,1,1,1
2488682,METRIC COFFEE CAFE,41.88664925,-87.67766943,4,1,1,0,0
2671044,DOLLAR TREE,41.75152942,-87.59248856,10,1,2,0,0
